question,label
"Define API endpoint",0
"List common database indexing methods",0
"Name three types of cloud storage",0
"State the purpose of a reverse proxy",0
"Identify the layers in a typical neural network",0
"What is container orchestration?",0
"Recall the CAP theorem components",0
"Define idempotency in REST APIs",0
"List benefits of microservices architecture",0
"What is a message queue?",0
"Name authentication protocols for APIs",0
"State the difference between TCP and UDP",0
"Identify key metrics for system monitoring",0
"What is eventual consistency?",0
"Define horizontal scaling",0
"List types of NoSQL databases",0
"Name common CI/CD tools",0
"State the purpose of a load balancer health check",0
"Identify components of a Kubernetes pod",0
"Describe how OAuth 2.0 authorization flow works",3
"Summarize the benefits of infrastructure as code",3
"Explain the concept of eventual consistency in distributed systems",3
"Interpret the role of a service mesh in microservices",3
"Classify different types of API versioning strategies",3
"What are the main trade-offs in choosing a consensus algorithm?",3
"Explain how caching improves application performance",3
"Describe the workflow of a typical GraphQL query execution",3
"Apply rate limiting to protect an API from abuse",4
"Use exponential backoff to handle transient failures",4
"Demonstrate how to implement circuit breaker pattern",4
"Calculate the replication factor needed for 99.99% availability",4
"Apply database sharding to scale a user table",4
"Use container resource limits to prevent noisy neighbor issues",4
"Implement health checks for a distributed service",4
"Calculate the cost difference between on-demand and reserved instances",4
"Apply retry logic with jitter to a flaky API call",4
"Use feature flags to enable gradual rollout",4
"Analyze the latency impact of synchronous vs asynchronous communication",6
"Compare the consistency models of DynamoDB and Cassandra",6
"Explain how distributed tracing helps debug microservices",6
"Discuss the security implications of serverless architecture",6
"Compare event sourcing and CRUD for audit requirements",6
"Analyze failure scenarios in a multi-region deployment",6
"Explain how backpressure prevents system overload",6
"Discuss trade-offs between strong and eventual consistency",6
"Compare the operational complexity of Kubernetes vs ECS",6
"Analyze the cost-performance ratio of different instance types",6
"Evaluate the suitability of WebSockets vs Server-Sent Events for real-time features",7
"Assess security risks in a multi-tenant SaaS architecture",7
"Justify the choice of gRPC over REST for internal microservices",7
"Critique the observability strategy of a given distributed system",7
"Evaluate different strategies for zero-downtime database migrations",7
"Assess the scalability limits of a monolith vs microservices",7
"Justify using CQRS for a high-write e-commerce system",7
"Critique the disaster recovery plan for a cloud-native application",7
"Evaluate authentication approaches for a B2B API platform",7
"Assess technical debt in a legacy system migration strategy",7
"Design a multi-region active-active architecture for global low-latency",8
"Develop a self-healing autoscaling policy for unpredictable workloads",8
"Propose a data residency strategy for GDPR-compliant global deployment",8
"Formulate a migration plan from monolith to microservices with minimal downtime",8
"Create a cost-optimization framework for multi-cloud resource allocation",8
"Design a secure service-to-service communication layer with mTLS",8
"Develop a progressive delivery pipeline with canary and blue-green deployments",8
"Propose a strategy to reduce cold start latency in serverless functions",8
"Create a comprehensive logging and alerting strategy for distributed systems",8
"Design a fault-isolated architecture for critical payment processing",8
"Architect a globally distributed event-driven system with exactly-once processing",9
"Evaluate and optimize a data pipeline for real-time analytics at petabyte scale",9
"Design a privacy-preserving federated learning system across organizational boundaries",9
"Create an end-to-end secure, observable, and cost-optimized serverless platform",9
"Develop an AI-driven autoscaling system that predicts demand spikes",9
"Architect a multi-tenant platform with strong isolation and customizable SLAs",9
"Design a self-optimizing database sharding strategy that adapts to access patterns",9
"Create a comprehensive governance framework for AI/ML model deployment in production",9
"Develop an automated chaos engineering platform for resilience validation",9
"Design a sustainable cloud architecture that minimizes carbon footprint",9
"Analyze and redesign a legacy batch processing system for real-time stream processing",10
"Evaluate trade-offs across consistency, availability, and partition tolerance for a global financial system",10
"Design a complete data platform addressing ingestion, transformation, serving, and governance at scale",10
"Critique and iteratively improve a machine learning infrastructure based on latency, cost, and accuracy constraints",10
"Develop a full-stack MLOps platform with automated retraining, monitoring, and rollback capabilities",10
"Architect a zero-trust security model for a hybrid cloud environment with legacy integration",10
"Design a self-healing, self-scaling, self-optimizing cloud-native application platform",10
"Create a comprehensive strategy for migrating a monolithic ERP to cloud-native microservices with zero business disruption",10
"Develop an intelligent resource orchestration system that balances performance, cost, and sustainability",10
"Design a future-proof architecture that accommodates quantum-resistant cryptography and post-5G connectivity",10
